Datasets;2-Fold;5-Fold;10-Fold;15-Fold
Dataset 1 ;64.8718;79.4872;80.7692;81.5385
Dataset 2  ;70.8128;83.3897;85.1282;85.8974
Dataset 3  ;78.6325;88.6752;90.812;91.8803
Dataset 4  ;80.7692;90.5983;92.735;93.1624
Dataset 5  ;84.7902;91.6084;93.3566;94.4056
Dataset 6 ;86.8881;93.7093;96.5035;96.8531
Dataset 7 ;76.6667;79.2308;80.7692;82.0513
Dataset 8  ;77.4359;84.6154;88.2051;86.6667
Dataset 9  ;62.0513;72.0513;73.7462;73.0769
Dataset 10 ;66.9231;81.2821;85.1282;83.3333
Dataset 11;64.8718;74.6154;75.3846;77.4359
Dataset 12;66.9231;81.2821;85.1282;83.333
